Wikipedia link,Office,State,Start office date,End office date
https://en.wikipedia.org/wiki/King_Jingmin_of_Wei,King of Wei,Wei,-243,-228
https://en.wikipedia.org/wiki/King_Jia_of_Wei,King of Wei,Wei,-228,-225
https://en.wikipedia.org/wiki/Shu_Yu_of_Tang,Marquis of Jin,Jin,-1042,
https://en.wikipedia.org/wiki/Xie,_Marquis_of_Jin,Marquis of Jin,Jin,,
https://en.wikipedia.org/wiki/Marquis_Wu_of_Jin,Marquis of Jin,Jin,,
https://en.wikipedia.org/wiki/Marquis_Cheng_of_Jin,Marquis of Jin,Jin,,
https://en.wikipedia.org/wiki/Marquis_Li_of_Jin,Marquis of Jin,Jin,,-859
https://en.wikipedia.org/wiki/Marquis_Jing_of_Jin,Marquis of Jin,Jin,-858,-841
https://en.wikipedia.org/wiki/Marquis_Xi_of_Jin,Marquis of Jin,Jin,-840,-823
https://en.wikipedia.org/wiki/Marquis_Xian_of_Jin,Marquis of Jin,Jin,-822,-812
https://en.wikipedia.org/wiki/Marquis_Mu_of_Jin,Marquis of Jin,Jin,-811,-785
https://en.wikipedia.org/wiki/Shang_Shu_(Jin),Marquis of Jin,Jin,-784,-781
https://en.wikipedia.org/wiki/Marquis_Wen_of_Jin,Marquis of Jin,Jin,-780,-746
https://en.wikipedia.org/wiki/Marquis_Zhao_of_Jin,Marquis of Jin,Jin,-745,-740
https://en.wikipedia.org/wiki/Marquis_Xiao_of_Jin,Marquis of Jin,Jin,-739,-724
https://en.wikipedia.org/wiki/Marquis_E_of_Jin,Marquis of Jin,Jin,-723,-718
https://en.wikipedia.org/wiki/Marquis_Ai_of_Jin,Marquis of Jin,Jin,-717,-709
https://en.wikipedia.org/wiki/Marquis_Xiaozi_of_Jin,Marquis of Jin,Jin,-708,-705
https://en.wikipedia.org/wiki/Min,_Marquis_of_Jin,Marquis of Jin,Jin,-704,-678
https://en.wikipedia.org/wiki/Duke_Wu_of_Jin,Duke of Jin,Jin,-678,-677
https://en.wikipedia.org/wiki/Duke_Xian_of_Jin,Duke of Jin,Jin,-676,-651
https://en.wikipedia.org/wiki/Xiqi,Duke of Jin,Jin,-651,-651
https://en.wikipedia.org/wiki/Zhuozi_(Jin),Duke of Jin,Jin,-651,-651
https://en.wikipedia.org/wiki/Duke_Hui_of_Jin,Duke of Jin,Jin,-650,-637
https://en.wikipedia.org/wiki/Duke_Huai_of_Jin,Duke of Jin,Jin,-637,-637
https://en.wikipedia.org/wiki/Duke_Wen_of_Jin,Duke of Jin,Jin,-636,-628
https://en.wikipedia.org/wiki/Duke_Xiang_of_Jin,Duke of Jin,Jin,-627,-621
https://en.wikipedia.org/wiki/Duke_Ling_of_Jin,Duke of Jin,Jin,-620,-607
https://en.wikipedia.org/wiki/Duke_Cheng_of_Jin,Duke of Jin,Jin,-606,-600
https://en.wikipedia.org/wiki/Duke_Jing_of_Jin,Duke of Jin,Jin,-599,-581
https://en.wikipedia.org/wiki/Duke_Li_of_Jin,Duke of Jin,Jin,-580,-573
https://en.wikipedia.org/wiki/Duke_Dao_of_Jin,Duke of Jin,Jin,-573,-558
https://en.wikipedia.org/wiki/Duke_Ping_of_Jin,Duke of Jin,Jin,-557,-532
https://en.wikipedia.org/wiki/Duke_Zhao_of_Jin,Duke of Jin,Jin,-531,-526
